ingredient,form,tier,bioavailability_note,use_case,source
Saw Palmetto,adulterated mixes,Reject,Standardized lipid extracts ensure a consistent dose of the active fatty acids,Lipophilic herbal extract from Serenoa repens berries (Plant),science_research.xlsx (internal evidence file - needs_citation)
Cacao Powder,Raw (non-alkalized) cocoa powder,Superior,preserve flavonoids like catechins and procyanidins,Food,science_research.xlsx (internal evidence file - needs_citation)
Cacao Powder,Alkalized (Dutch-processed) cocoa powder,Acceptable,preserve flavonoids like catechins and procyanidins,Food,science_research.xlsx (internal evidence file - needs_citation)
Cacao Powder,Cocoa powders and mixes loaded with sugar,Reject,preserve flavonoids like catechins and procyanidins,Food,science_research.xlsx (internal evidence file - needs_citation)
Cacao Powder,"additives, also white cocoa",Reject,preserve flavonoids like catechins and procyanidins,Food,science_research.xlsx (internal evidence file - needs_citation)
L-Arginine,Pharmaceutical-grade L-arginine (USP/EP purity ≥99%),Superior,Free-form L-arginine - raise blood plasma levels. Buffered forms (e.g. L-Arginine ascorbate) reduce acidity,Amino acid,science_research.xlsx (internal evidence file - needs_citation)
L-Arginine,L-arginine HCl is most stable,Superior,Free-form L-arginine - raise blood plasma levels. Buffered forms (e.g. L-Arginine ascorbate) reduce acidity,Amino acid,science_research.xlsx (internal evidence file - needs_citation)
L-Arginine,L-arginine ascorbate (buffered) may reduce GI acidity,Superior,Free-form L-arginine - raise blood plasma levels. Buffered forms (e.g. L-Arginine ascorbate) reduce acidity,Amino acid,science_research.xlsx (internal evidence file - needs_citation)
L-Arginine,Basic L‑arginine capsules,Acceptable,Free-form L-arginine - raise blood plasma levels. Buffered forms (e.g. L-Arginine ascorbate) reduce acidity,Amino acid,science_research.xlsx (internal evidence file - needs_citation)
L-Arginine,powders,Acceptable,Free-form L-arginine - raise blood plasma levels. Buffered forms (e.g. L-Arginine ascorbate) reduce acidity,Amino acid,science_research.xlsx (internal evidence file - needs_citation)
L-Arginine,Impure industrial-grade arginine,Reject,Free-form L-arginine - raise blood plasma levels. Buffered forms (e.g. L-Arginine ascorbate) reduce acidity,Amino acid,science_research.xlsx (internal evidence file - needs_citation)
L-Arginine,adulterated blends,Reject,Free-form L-arginine - raise blood plasma levels. Buffered forms (e.g. L-Arginine ascorbate) reduce acidity,Amino acid,science_research.xlsx (internal evidence file - needs_citation)
Vitamin C,Well‑dosed (≈200–500 mg) ascorbic acid,Superior,Mineral ascorbates are less acidic and may reduce stomach upset,Water‑soluble antioxidant vitamin,science_research.xlsx (internal evidence file - needs_citation)
Vitamin C,buffered/mineral ascorbates,Superior,Mineral ascorbates are less acidic and may reduce stomach upset,Water‑soluble antioxidant vitamin,science_research.xlsx (internal evidence file - needs_citation)
Vitamin C,Plain ascorbic acid powder,Acceptable,Mineral ascorbates are less acidic and may reduce stomach upset,Water‑soluble antioxidant vitamin,science_research.xlsx (internal evidence file - needs_citation)
Vitamin C,tablet,Acceptable,Mineral ascorbates are less acidic and may reduce stomach upset,Water‑soluble antioxidant vitamin,science_research.xlsx (internal evidence file - needs_citation)
Vitamin C,"Cheap chewables/candies, Dehydroascorbic acid alone (oxidized form) is not a substitute",Reject,Mineral ascorbates are less acidic and may reduce stomach upset,Water‑soluble antioxidant vitamin,science_research.xlsx (internal evidence file - needs_citation)
Vitamin D3,vitamin D3 in oil‑based softgels,Superior,oil‑based formulations improve absorption,Fat‑soluble vitamin / hormone‑like nutrient,science_research.xlsx (internal evidence file - needs_citation)
Vitamin D3,D3 tablets/capsules,Acceptable,oil‑based formulations improve absorption,Fat‑soluble vitamin / hormone‑like nutrient,science_research.xlsx (internal evidence file - needs_citation)
Vitamin D3,"D2 (ergocalciferol),unclear D2/D3 form, inaccurate",Reject,oil‑based formulations improve absorption,Fat‑soluble vitamin / hormone‑like nutrient,science_research.xlsx (internal evidence file - needs_citation)
Vitamin D3,missing IU/µg declaration,Reject,oil‑based formulations improve absorption,Fat‑soluble vitamin / hormone‑like nutrient,science_research.xlsx (internal evidence file - needs_citation)
Iron (Bisglycinate),Iron bisglycinate (amino-acid chelate),Superior,Bisglycinate has ~2× higher bioavailability and causes fewer GI side-effects than salts,Mineral - Chelated iron (iron(II) bound to two glycines),science_research.xlsx (internal evidence file - needs_citation)
Iron (Bisglycinate),"Ferrous sulfate, ferrous gluconate, ferrous fumarate (common salts)",Acceptable,Bisglycinate has ~2× higher bioavailability and causes fewer GI side-effects than salts,Mineral - Chelated iron (iron(II) bound to two glycines),science_research.xlsx (internal evidence file - needs_citation)
Iron (Bisglycinate),Non-chelated ferric compounds/elemental iron (very low absorption),Reject,Bisglycinate has ~2× higher bioavailability and causes fewer GI side-effects than salts,Mineral - Chelated iron (iron(II) bound to two glycines),science_research.xlsx (internal evidence file - needs_citation)
MCT Oil,Pure C8 (caprylic),Superior,C8/C10 are absorbed rapidly by the liver and converted to energy/ketones more readily than long-chain fats,Fatty acid (medium-chain triglyceride),science_research.xlsx (internal evidence file - needs_citation)
MCT Oil,C10 (capric) triglycerides,Superior,C8/C10 are absorbed rapidly by the liver and converted to energy/ketones more readily than long-chain fats,Fatty acid (medium-chain triglyceride),science_research.xlsx (internal evidence file - needs_citation)
MCT Oil,Blends of C8/C10 (common MCT oils),Acceptable,C8/C10 are absorbed rapidly by the liver and converted to energy/ketones more readily than long-chain fats,Fatty acid (medium-chain triglyceride),science_research.xlsx (internal evidence file - needs_citation)
MCT Oil,"Oils high in lauric acid (C12) – metabolized like LCTs, less “MCT”-like",Reject,C8/C10 are absorbed rapidly by the liver and converted to energy/ketones more readily than long-chain fats,Fatty acid (medium-chain triglyceride),science_research.xlsx (internal evidence file - needs_citation)
Lion's Mane,Dual-extracted fruiting body extracts (hot-water/alcohol) to capture polysaccharides and terpenoids,Superior,Contains unique hericenones and erinacines that stimulate nerve-growth factor and may support cognition,Medicinal mushroom (fungal herbal supplement),science_research.xlsx (internal evidence file - needs_citation)
Lion's Mane,Fruiting-body powders,Acceptable,Contains unique hericenones and erinacines that stimulate nerve-growth factor and may support cognition,Medicinal mushroom (fungal herbal supplement),science_research.xlsx (internal evidence file - needs_citation)
Lion's Mane,standard extracts,Acceptable,Contains unique hericenones and erinacines that stimulate nerve-growth factor and may support cognition,Medicinal mushroom (fungal herbal supplement),science_research.xlsx (internal evidence file - needs_citation)
Lion's Mane,mycelium is less potent,Acceptable,Contains unique hericenones and erinacines that stimulate nerve-growth factor and may support cognition,Medicinal mushroom (fungal herbal supplement),science_research.xlsx (internal evidence file - needs_citation)
Lion's Mane,"Mycelium on grain (“solid matrix”),",Reject,Contains unique hericenones and erinacines that stimulate nerve-growth factor and may support cognition,Medicinal mushroom (fungal herbal supplement),science_research.xlsx (internal evidence file - needs_citation)
Lion's Mane,extracts low in bioactive compounds,Reject,Contains unique hericenones and erinacines that stimulate nerve-growth factor and may support cognition,Medicinal mushroom (fungal herbal supplement),science_research.xlsx (internal evidence file - needs_citation)
B-Complex,Bioactive coenzyme/methylated forms are preferred (e.g. methylcobalamin vs cyanocobalamin for B₁₂,Superior,Active forms require less metabolic conversion improving efficacy,"B-complex is a collection of eight water-soluble B vitamins (B₁, B₂, B₃, B₅, B₆, B₇, B₉, B₁₂) essential for metabolism",science_research.xlsx (internal evidence file - needs_citation)
B-Complex,pyridoxal‑5′-phosphate vs pyridoxine for B₆,Superior,Active forms require less metabolic conversion improving efficacy,"B-complex is a collection of eight water-soluble B vitamins (B₁, B₂, B₃, B₅, B₆, B₇, B₉, B₁₂) essential for metabolism",science_research.xlsx (internal evidence file - needs_citation)
B-Complex,"5‑MTHF vs folic acid for B₉) NOTE: For B12, cyanocobalamin is equally effective and more stable for most uses",Superior,Active forms require less metabolic conversion improving efficacy,"B-complex is a collection of eight water-soluble B vitamins (B₁, B₂, B₃, B₅, B₆, B₇, B₉, B₁₂) essential for metabolism",science_research.xlsx (internal evidence file - needs_citation)
B-Complex,methylcobalamin/adenosylcobalamin preferred mainly for MTHFR polymorphisms,Superior,Active forms require less metabolic conversion improving efficacy,"B-complex is a collection of eight water-soluble B vitamins (B₁, B₂, B₃, B₅, B₆, B₇, B₉, B₁₂) essential for metabolism",science_research.xlsx (internal evidence file - needs_citation)
B-Complex,"thiamin mononitrate (B₁), riboflavin (B₂), niacinamide (B₃), pantothenic acid (B₅), pyridoxine HCl (B₆), folic acid",Acceptable,Active forms require less metabolic conversion improving efficacy,"B-complex is a collection of eight water-soluble B vitamins (B₁, B₂, B₃, B₅, B₆, B₇, B₉, B₁₂) essential for metabolism",science_research.xlsx (internal evidence file - needs_citation)
B-Complex,"calcium L‑methylfolate (B₉), cyanocobalamin (B₁₂), etc",Acceptable,Active forms require less metabolic conversion improving efficacy,"B-complex is a collection of eight water-soluble B vitamins (B₁, B₂, B₃, B₅, B₆, B₇, B₉, B₁₂) essential for metabolism",science_research.xlsx (internal evidence file - needs_citation)
B-Complex,Synthetic analogs may be less desirable (e.g. folic acid,Reject,Active forms require less metabolic conversion improving efficacy,"B-complex is a collection of eight water-soluble B vitamins (B₁, B₂, B₃, B₅, B₆, B₇, B₉, B₁₂) essential for metabolism",science_research.xlsx (internal evidence file - needs_citation)
B-Complex,cyanocobalamin instead of active forms),Reject,Active forms require less metabolic conversion improving efficacy,"B-complex is a collection of eight water-soluble B vitamins (B₁, B₂, B₃, B₅, B₆, B₇, B₉, B₁₂) essential for metabolism",science_research.xlsx (internal evidence file - needs_citation)
Resveratrol,Trans-isomer is the biologically active form,Superior,Trans-resveratrol has greater bioactivity and is more stable; glycosylated or formulated forms that improve absorption (versus raw cis form) are superior,"Plant-derived stilbenoid (a polyphenolic phytoalexin) found in grapes, berries and peanuts",science_research.xlsx (internal evidence file - needs_citation)
Resveratrol,"Standard supplements contain trans-resveratrol (often as trans-3,5,4′-trihydroxystilbene) either alone",Acceptable,Trans-resveratrol has greater bioactivity and is more stable; glycosylated or formulated forms that improve absorption (versus raw cis form) are superior,"Plant-derived stilbenoid (a polyphenolic phytoalexin) found in grapes, berries and peanuts",science_research.xlsx (internal evidence file - needs_citation)
Resveratrol,with equivalent cis content,Acceptable,Trans-resveratrol has greater bioactivity and is more stable; glycosylated or formulated forms that improve absorption (versus raw cis form) are superior,"Plant-derived stilbenoid (a polyphenolic phytoalexin) found in grapes, berries and peanuts",science_research.xlsx (internal evidence file - needs_citation)
Resveratrol,"Products with unspecified cis/trans ratio, unclear source, very low dose per capsule",Reject,Trans-resveratrol has greater bioactivity and is more stable; glycosylated or formulated forms that improve absorption (versus raw cis form) are superior,"Plant-derived stilbenoid (a polyphenolic phytoalexin) found in grapes, berries and peanuts",science_research.xlsx (internal evidence file - needs_citation)
Reishi Mushroom,Concentrated extracts (hot-water,Superior,"Extracts concentrate reishi’s active compounds (beta-glucans, ganoderic acids, etc.), providing stronger immune and stress-response support",Functional medicinal mushroom (immunomodulatory / adaptogenic),science_research.xlsx (internal evidence file - needs_citation)
Reishi Mushroom,dual extracts),Superior,"Extracts concentrate reishi’s active compounds (beta-glucans, ganoderic acids, etc.), providing stronger immune and stress-response support",Functional medicinal mushroom (immunomodulatory / adaptogenic),science_research.xlsx (internal evidence file - needs_citation)
Reishi Mushroom,spore oil are considered most potent,Superior,"Extracts concentrate reishi’s active compounds (beta-glucans, ganoderic acids, etc.), providing stronger immune and stress-response support",Functional medicinal mushroom (immunomodulatory / adaptogenic),science_research.xlsx (internal evidence file - needs_citation)
Reishi Mushroom,Whole dried fruiting-body powder,Acceptable,"Extracts concentrate reishi’s active compounds (beta-glucans, ganoderic acids, etc.), providing stronger immune and stress-response support",Functional medicinal mushroom (immunomodulatory / adaptogenic),science_research.xlsx (internal evidence file - needs_citation)
Reishi Mushroom,water extracts (rich in β-glucan polysaccharides(20-30%) and triterpenes),Acceptable,"Extracts concentrate reishi’s active compounds (beta-glucans, ganoderic acids, etc.), providing stronger immune and stress-response support",Functional medicinal mushroom (immunomodulatory / adaptogenic),science_research.xlsx (internal evidence file - needs_citation)
Reishi Mushroom,"Mycelium grown on grain (molded into ""mushroom"" powders), products diluted with fillers",Reject,"Extracts concentrate reishi’s active compounds (beta-glucans, ganoderic acids, etc.), providing stronger immune and stress-response support",Functional medicinal mushroom (immunomodulatory / adaptogenic),science_research.xlsx (internal evidence file - needs_citation)
Psyllium Husk,100% pure psyllium husk with clearly stated grams of fibre per serving,Superior,"Psyllium lowers LDL, improves glycemic control, softens stools; only isolated fiber proven to cut LDL and BP in trials","natural plant fiber (soluble, gel-forming) derived from the husk of Plantago ovata seeds",science_research.xlsx (internal evidence file - needs_citation)
Psyllium Husk,Traditional powders,Acceptable,"Psyllium lowers LDL, improves glycemic control, softens stools; only isolated fiber proven to cut LDL and BP in trials","natural plant fiber (soluble, gel-forming) derived from the husk of Plantago ovata seeds",science_research.xlsx (internal evidence file - needs_citation)
Psyllium Husk,capsules providing ~5 g psyllium husk 1–2 times/day as constipation,Acceptable,"Psyllium lowers LDL, improves glycemic control, softens stools; only isolated fiber proven to cut LDL and BP in trials","natural plant fiber (soluble, gel-forming) derived from the husk of Plantago ovata seeds",science_research.xlsx (internal evidence file - needs_citation)
Psyllium Husk,cholesterol adjunct,Acceptable,"Psyllium lowers LDL, improves glycemic control, softens stools; only isolated fiber proven to cut LDL and BP in trials","natural plant fiber (soluble, gel-forming) derived from the husk of Plantago ovata seeds",science_research.xlsx (internal evidence file - needs_citation)
Psyllium Husk,"Products with very low psyllium per serving (<<3 g) but heavy claims,",Reject,"Psyllium lowers LDL, improves glycemic control, softens stools; only isolated fiber proven to cut LDL and BP in trials","natural plant fiber (soluble, gel-forming) derived from the husk of Plantago ovata seeds",science_research.xlsx (internal evidence file - needs_citation)
Psyllium Husk,fibre blends with sugar and artificial colours overshadowing fibre benefit,Reject,"Psyllium lowers LDL, improves glycemic control, softens stools; only isolated fiber proven to cut LDL and BP in trials","natural plant fiber (soluble, gel-forming) derived from the husk of Plantago ovata seeds",science_research.xlsx (internal evidence file - needs_citation)
Digestive Enzymes,Enteric-coated,Superior,Preparations with defined enzyme (e.g. DigeZyme 50 mg TID) give predictable symptom reduction and safety vs. vague “enzyme” blends.,"Blend of digestive enzymes (e.g. proteases, lipases, amylases) that hydrolyze food (carbohydrates, proteins, fats)",science_research.xlsx (internal evidence file - needs_citation)
Digestive Enzymes,microbial-derived enzyme blends (broad pH stability),Superior,Preparations with defined enzyme (e.g. DigeZyme 50 mg TID) give predictable symptom reduction and safety vs. vague “enzyme” blends.,"Blend of digestive enzymes (e.g. proteases, lipases, amylases) that hydrolyze food (carbohydrates, proteins, fats)",science_research.xlsx (internal evidence file - needs_citation)
Digestive Enzymes,Standard pancreatic enzyme extracts (porcine,Acceptable,Preparations with defined enzyme (e.g. DigeZyme 50 mg TID) give predictable symptom reduction and safety vs. vague “enzyme” blends.,"Blend of digestive enzymes (e.g. proteases, lipases, amylases) that hydrolyze food (carbohydrates, proteins, fats)",science_research.xlsx (internal evidence file - needs_citation)
Digestive Enzymes,"bovine pancreatin containing trypsin, amylase, lipase)",Acceptable,Preparations with defined enzyme (e.g. DigeZyme 50 mg TID) give predictable symptom reduction and safety vs. vague “enzyme” blends.,"Blend of digestive enzymes (e.g. proteases, lipases, amylases) that hydrolyze food (carbohydrates, proteins, fats)",science_research.xlsx (internal evidence file - needs_citation)
Digestive Enzymes,"Products with very low declared enzyme activity, no specific units (e.g. FCC/U.S. Pharmacopeia),",Reject,Preparations with defined enzyme (e.g. DigeZyme 50 mg TID) give predictable symptom reduction and safety vs. vague “enzyme” blends.,"Blend of digestive enzymes (e.g. proteases, lipases, amylases) that hydrolyze food (carbohydrates, proteins, fats)",science_research.xlsx (internal evidence file - needs_citation)
Digestive Enzymes,unclear source/standardisation,Reject,Preparations with defined enzyme (e.g. DigeZyme 50 mg TID) give predictable symptom reduction and safety vs. vague “enzyme” blends.,"Blend of digestive enzymes (e.g. proteases, lipases, amylases) that hydrolyze food (carbohydrates, proteins, fats)",science_research.xlsx (internal evidence file - needs_citation)
Hydrolyzed Collagen,Marine collagen peptides,Superior,Appropriately dosed peptides (2.5–10 g/day) show improvements in skin hydration/elasticity and modest OA pain relief in RCTs.,"Protein (collagen peptides rich in glycine, proline, hydroxyproline)",science_research.xlsx (internal evidence file - needs_citation)
Hydrolyzed Collagen,Bovine,Acceptable,Appropriately dosed peptides (2.5–10 g/day) show improvements in skin hydration/elasticity and modest OA pain relief in RCTs.,"Protein (collagen peptides rich in glycine, proline, hydroxyproline)",science_research.xlsx (internal evidence file - needs_citation)
Hydrolyzed Collagen,porcine hydrolyzed collagen (type I/II hydrolysate),Acceptable,Appropriately dosed peptides (2.5–10 g/day) show improvements in skin hydration/elasticity and modest OA pain relief in RCTs.,"Protein (collagen peptides rich in glycine, proline, hydroxyproline)",science_research.xlsx (internal evidence file - needs_citation)
Hydrolyzed Collagen,Non-hydrolyzed gelatin,Reject,Appropriately dosed peptides (2.5–10 g/day) show improvements in skin hydration/elasticity and modest OA pain relief in RCTs.,"Protein (collagen peptides rich in glycine, proline, hydroxyproline)",science_research.xlsx (internal evidence file - needs_citation)
Hydrolyzed Collagen,poorly hydrolyzed collagen (poorly absorbed),Reject,Appropriately dosed peptides (2.5–10 g/day) show improvements in skin hydration/elasticity and modest OA pain relief in RCTs.,"Protein (collagen peptides rich in glycine, proline, hydroxyproline)",science_research.xlsx (internal evidence file - needs_citation)
Hydrolyzed Collagen,uncharacterized multi-collagen blends without evidence,Reject,Appropriately dosed peptides (2.5–10 g/day) show improvements in skin hydration/elasticity and modest OA pain relief in RCTs.,"Protein (collagen peptides rich in glycine, proline, hydroxyproline)",science_research.xlsx (internal evidence file - needs_citation)
Glutathione,"Reduced (active) L-glutathione: Setria® GSH (fermented, clinically studied), liposomal GSH (phospholipid encapsulated),",Superior,Liposomal/acetylated forms can raise intracellular GSH levels significantly,Antioxidant tripeptide (γ-glutamyl-cysteinyl-glycine),science_research.xlsx (internal evidence file - needs_citation)
Glutathione,"S-acetyl-L-glutathione (acetylated, acid-stable). These are all superior to standard oral GSH capsules for raising intracellular levels",Superior,Liposomal/acetylated forms can raise intracellular GSH levels significantly,Antioxidant tripeptide (γ-glutamyl-cysteinyl-glycine),science_research.xlsx (internal evidence file - needs_citation)
Glutathione,Oral reduced glutathione (GSH) capsules/tablets 250–500 mg/day,Acceptable,Liposomal/acetylated forms can raise intracellular GSH levels significantly,Antioxidant tripeptide (γ-glutamyl-cysteinyl-glycine),science_research.xlsx (internal evidence file - needs_citation)
Glutathione,Unregulated IV glutathione for skin lightening,Reject,Liposomal/acetylated forms can raise intracellular GSH levels significantly,Antioxidant tripeptide (γ-glutamyl-cysteinyl-glycine),science_research.xlsx (internal evidence file - needs_citation)
Glutathione,oral doses <50 mg with exaggerated whitening/detox claims,Reject,Liposomal/acetylated forms can raise intracellular GSH levels significantly,Antioxidant tripeptide (γ-glutamyl-cysteinyl-glycine),science_research.xlsx (internal evidence file - needs_citation)
Vitamin C (Ester-C),Ester-C® (calcium ascorbate with vitamin C metabolites),Superior,Ester-C is non-acidic and better tolerated; studies report fewer GI side effects and longer leukocyte retention,"Water-soluble vitamin (ascorbic acid), here as calcium ascorbate (Ester-C®)",science_research.xlsx (internal evidence file - needs_citation)
Vitamin C (Ester-C),Ascorbic acid (pure vitamin C),Acceptable,Ester-C is non-acidic and better tolerated; studies report fewer GI side effects and longer leukocyte retention,"Water-soluble vitamin (ascorbic acid), here as calcium ascorbate (Ester-C®)",science_research.xlsx (internal evidence file - needs_citation)
Vitamin C (Ester-C),other mineral ascorbates,Acceptable,Ester-C is non-acidic and better tolerated; studies report fewer GI side effects and longer leukocyte retention,"Water-soluble vitamin (ascorbic acid), here as calcium ascorbate (Ester-C®)",science_research.xlsx (internal evidence file - needs_citation)
Vitamin C (Ester-C),Ascorbyl palmitate (fat-soluble ester) – does not substitute for vitamin C,Reject,Ester-C is non-acidic and better tolerated; studies report fewer GI side effects and longer leukocyte retention,"Water-soluble vitamin (ascorbic acid), here as calcium ascorbate (Ester-C®)",science_research.xlsx (internal evidence file - needs_citation)
