supplement,drug,severity,mechanism,management
Magnesium Citrate,Lumefantrine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Asenapine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Omeprazole,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Risedronic acid,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Risedronic acid,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Atomoxetine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Azithromycin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Baloxavir marboxil,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Baloxavir marboxil,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Bicalutamide,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Bictegravir,Major,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Bictegravir,Major,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Tetracycline,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Tetracycline,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Ibandronate,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Ibandronate,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Bosutinib,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Bumetanide,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Buprenorphine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Cabozantinib,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Calcifediol,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Calcitriol,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Levodopa,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Spironolactone,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Cefdinir,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Ceritinib,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Chloramphenicol,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Chlorothiazide,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Chlorthalidone,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Cholecalciferol,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Cilostazol,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Cimetidine,Minor,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Ciprofloxacin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Ciprofloxacin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Citalopram,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Clarithromycin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Magnesium oxide,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Clofazimine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Clozapine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Prochlorperazine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Pancrelipase,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Crizotinib,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Dasatinib,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Deferiprone,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Deferiprone,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Degarelix,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Delafloxacin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Delafloxacin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Deutetrabenazine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Dexlansoprazole,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Diclofenamide,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Dimercaprol,Major,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Methadone,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Disopyramide,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Dofetilide,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Dolasetron,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Dronedarone,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Droperidol,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Minocycline,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Minocycline,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Erythromycin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Efavirenz,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Eltrombopag,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Eltrombopag,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Glycinate,Eltrombopag,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Rilpivirine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Encorafenib,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Leuprolide,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,"Thyroid, porcine",Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Linaclotide,Minor,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Liotrix,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Lopinavir,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Methyldopa,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Zinc sulfate,Minor,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Esomeprazole,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Palonosetron,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Fluoxetine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Trazodone,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Omadacycline,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Omadacycline,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Patiromer,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Patiromer,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Pentamidine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Dextropropoxyphene,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Risperidone,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Tolevamer,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Tolevamer,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Sodium sulfate,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Magnesium sulfate,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Vardenafil,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Triethylenetetramine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Triethylenetetramine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Triptorelin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Zinc acetate,Minor,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Inotuzumab ozogamicin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Paliperidone,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Saquinavir,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Irinotecan,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Iron Dextran,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Iron sucrose,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Vitamin E,Iron sucrose,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Ivosidenib,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Chondroitin Sulfate,Warfarin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Echinacea,Warfarin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Ginkgo Biloba,Warfarin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
St. John's Wort,Warfarin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Turmeric,Warfarin,Minor,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Vitamin E,Warfarin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Ketoconazole,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Moxifloxacin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Moxifloxacin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Mycophenolate mofetil,Minor,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Mycophenolic acid,Minor,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Lansoprazole,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Lanthanum carbonate,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Lapatinib,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Lefamulin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Lenvatinib,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Levofloxacin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Levofloxacin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Lisdexamfetamine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Lofexidine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Magnesium chloride,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Mannitol,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Mefloquine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Methazolamide,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Metolazone,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Midostaurin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Mifepristone,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Mirtazapine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Lactulose,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Nilotinib,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Nilutamide,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Norfloxacin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Norfloxacin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Ofloxacin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Ofloxacin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Oliceridine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Ondansetron,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Osimertinib,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Oxaliplatin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Panobinostat,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Pantoprazole,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Pazopanib,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Iron,Penicillamine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Penicillamine,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Perflutren,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Pimavanserin,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Pimozide,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Pitolisant,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Posaconazole,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Procainamide,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
Magnesium Citrate,Propafenone,Moderate,"Not specified in source data (DDInter provides severity only, not mechanism text, for this record)",Consult a pharmacist or prescriber before combining
