ingredient,population,unit,min_effective_dose,optimal_low,optimal_high,upper_limit,source
Vitamin C (Ester-C),adult,mg,40.0,40.0,40.0,2000.0,science_research.xlsx (internal evidence file - needs_citation)
Tremella Mushroom,adult,mg,600.0,600.0,1200.0,1200.0,science_research.xlsx (internal evidence file - needs_citation)
Pumpkin Seed Oil,adult,mg,720.0,720.0,720.0,400.0,science_research.xlsx (internal evidence file - needs_citation)
Turmeric (Curcumin),adult,mg,500.0,500.0,2000.0,210.0,science_research.xlsx (internal evidence file - needs_citation)
Fish Oil (High EPA),adult,mg,1000.0,1000.0,2000.0,4000.0,science_research.xlsx (internal evidence file - needs_citation)
Spirulina,adult,mg,2000.0,2000.0,8000.0,10000.0,Mazokopakis et al. 2014
Krill Oil,adult,mg,1000.0,1000.0,3000.0,3000.0,science_research.xlsx (internal evidence file - needs_citation)
Matcha Powder,adult,mg,2000.0,2000.0,2000.0,800.0,science_research.xlsx (internal evidence file - needs_citation)
Moringa,adult,mg,2000.0,2000.0,6000.0,6000.0,science_research.xlsx (internal evidence file - needs_citation)
Black Seed Oil (Nigella),adult,mg,1000.0,1000.0,3000.0,,science_research.xlsx (internal evidence file - needs_citation)
Berberine,adult,mg,500.0,500.0,500.0,1500.0,science_research.xlsx (internal evidence file - needs_citation)
Oregano Oil,adult,mg,200.0,200.0,200.0,,science_research.xlsx (internal evidence file - needs_citation)
Shilajit,adult,mg,300.0,300.0,500.0,500.0,science_research.xlsx (internal evidence file - needs_citation)
Selenium,adult,mg,0.1,0.1,0.2,0.4,science_research.xlsx (internal evidence file - needs_citation)
Echinacea,adult,mg,900.0,900.0,900.0,,science_research.xlsx (internal evidence file - needs_citation)
Quercetin,adult,mg,500.0,500.0,1000.0,1000.0,science_research.xlsx (internal evidence file - needs_citation)
Manuka Honey,adult,mg,10000.0,10000.0,20000.0,,science_research.xlsx (internal evidence file - needs_citation)
Lysine,adult,mg,1000.0,1000.0,3000.0,1000.0,science_research.xlsx (internal evidence file - needs_citation)
Creatine Monohydrate,adult,mg,3000.0,3000.0,5000.0,3000.0,science_research.xlsx (internal evidence file - needs_citation)
Vitamin B12,adult,mg,0.0015,0.0015,0.0015,,science_research.xlsx (internal evidence file - needs_citation)
Whey Protein,adult,mg,20000.0,20000.0,40000.0,3500.0,science_research.xlsx (internal evidence file - needs_citation)
Rhodiola Rosea,adult,mg,340.0,340.0,680.0,680.0,science_research.xlsx (internal evidence file - needs_citation)
HMB,adult,mg,3000.0,3000.0,3000.0,3000.0,science_research.xlsx (internal evidence file - needs_citation)
Inositol,adult,mg,2000.0,2000.0,2000.0,18000.0,science_research.xlsx (internal evidence file - needs_citation)
Ginkgo Biloba,adult,mg,120.0,120.0,240.0,240.0,science_research.xlsx (internal evidence file - needs_citation)
Rosemary Extract,adult,mg,500.0,500.0,500.0,1000.0,Pengelly et al. 2012
Valerian Root,adult,mg,300.0,300.0,600.0,900.0,science_research.xlsx (internal evidence file - needs_citation)
Ashwagandha (KSM-66),adult,mg,300.0,300.0,300.0,600.0,science_research.xlsx (internal evidence file - needs_citation)
5-HTP,adult,mg,100.0,100.0,300.0,300.0,science_research.xlsx (internal evidence file - needs_citation)
Saccharomyces boulardii,adult,mg,250.0,250.0,500.0,1000.0,science_research.xlsx (internal evidence file - needs_citation)
St. John's Wort,adult,mg,600.0,600.0,900.0,900.0,science_research.xlsx (internal evidence file - needs_citation)
Evening Primrose Oil,adult,mg,500.0,500.0,2000.0,4000.0,science_research.xlsx (internal evidence file - needs_citation)
Magnesium Glycinate,adult,mg,200.0,200.0,350.0,350.0,science_research.xlsx (internal evidence file - needs_citation)
Magnesium Malate,adult,mg,200.0,200.0,400.0,350.0,science_research.xlsx (internal evidence file - needs_citation)
Magnesium Citrate,adult,mg,200.0,200.0,350.0,350.0,science_research.xlsx (internal evidence file - needs_citation)
Charcoal (Activated),adult,mg,500.0,500.0,1000.0,4000.0,science_research.xlsx (internal evidence file - needs_citation)
Vitamin E,adult,mg,15.0,15.0,15.0,1000.0,science_research.xlsx (internal evidence file - needs_citation)
MSM,adult,mg,1500.0,1500.0,3000.0,4000.0,science_research.xlsx (internal evidence file - needs_citation)
Tribulus Terrestris,adult,mg,250.0,250.0,1500.0,1500.0,science_research.xlsx (internal evidence file - needs_citation)
Prenatal Vitamin,adult,mg,0.4,0.4,0.4,,science_research.xlsx (internal evidence file - needs_citation)
Hyaluronic Acid (Oral),adult,mg,60.0,60.0,240.0,240.0,science_research.xlsx (internal evidence file - needs_citation)
Kelp (Iodine),adult,mg,0.15,0.15,0.15,0.6,science_research.xlsx (internal evidence file - needs_citation)
Algal Oil,adult,mg,250.0,250.0,250.0,5000.0,science_research.xlsx (internal evidence file - needs_citation)
Chlorella,adult,mg,2000.0,2000.0,5000.0,5000.0,science_research.xlsx (internal evidence file - needs_citation)
Flaxseed Oil,adult,mg,1000.0,1000.0,2000.0,,science_research.xlsx (internal evidence file - needs_citation)
Dandelion Root,adult,mg,500.0,500.0,2000.0,,science_research.xlsx (internal evidence file - needs_citation)
Sea Moss (Irish Moss),adult,mg,500.0,500.0,1000.0,0.6,science_research.xlsx (internal evidence file - needs_citation)
Potassium,adult,mg,3500.0,3500.0,3500.0,,science_research.xlsx (internal evidence file - needs_citation)
Copper,adult,mg,0.9,0.9,0.9,5.0,science_research.xlsx (internal evidence file - needs_citation)
Fulvic Acid,adult,mg,50.0,50.0,300.0,,science_research.xlsx (internal evidence file - needs_citation)
Astaxanthin,adult,mg,4.0,4.0,12.0,0.034,science_research.xlsx (internal evidence file - needs_citation)
Acetyl-L-Carnitine,adult,mg,500.0,500.0,2000.0,3000.0,science_research.xlsx (internal evidence file - needs_citation)
Lactoferrin,adult,mg,100.0,100.0,300.0,1000.0,science_research.xlsx (internal evidence file - needs_citation)
Nutritional Yeast,adult,mg,5000.0,5000.0,10000.0,,science_research.xlsx (internal evidence file - needs_citation)
Hemp Oil,adult,mg,1000.0,1000.0,3000.0,,science_research.xlsx (internal evidence file - needs_citation)
Sea Buckthorn Oil,adult,mg,500.0,500.0,2000.0,,science_research.xlsx (internal evidence file - needs_citation)
Fenugreek,adult,mg,500.0,500.0,1500.0,1500.0,science_research.xlsx (internal evidence file - needs_citation)
D-Mannose,adult,mg,500.0,500.0,2000.0,,science_research.xlsx (internal evidence file - needs_citation)
Green Tea Extract,adult,mg,250.0,250.0,500.0,800.0,science_research.xlsx (internal evidence file - needs_citation)
Soy Isolate Protein,adult,mg,20000.0,20000.0,30000.0,,science_research.xlsx (internal evidence file - needs_citation)
Elderberry (Sambucus),adult,mg,300.0,300.0,600.0,,Zakay-Rones et al. 2004
Beta-Alanine,adult,mg,3200.0,3200.0,6400.0,6400.0,science_research.xlsx (internal evidence file - needs_citation)
Tyrosine,adult,mg,500.0,500.0,2000.0,3000.0,science_research.xlsx (internal evidence file - needs_citation)
Nicotinamide,adult,mg,15.0,15.0,500.0,900.0,science_research.xlsx (internal evidence file - needs_citation)
Milk Thistle (Silymarin),adult,mg,200.0,200.0,420.0,700.0,science_research.xlsx (internal evidence file - needs_citation)
Chlorophyll,adult,mg,100.0,100.0,300.0,,science_research.xlsx (internal evidence file - needs_citation)
Curcumin (Longvida),adult,mg,400.0,400.0,1000.0,3000.0,science_research.xlsx (internal evidence file - needs_citation)
Lutein/Zeaxanthin,adult,mg,10.0,10.0,20.0,20.0,science_research.xlsx (internal evidence file - needs_citation)
Lavender Oil (Oral),adult,mg,80.0,80.0,160.0,160.0,science_research.xlsx (internal evidence file - needs_citation)
Chondroitin Sulfate,adult,mg,800.0,800.0,1200.0,1200.0,science_research.xlsx (internal evidence file - needs_citation)
Fennel Seed,adult,mg,500.0,500.0,1000.0,,science_research.xlsx (internal evidence file - needs_citation)
Ceramides,adult,mg,20.0,20.0,40.0,,science_research.xlsx (internal evidence file - needs_citation)
Maca Root,adult,mg,1500.0,1500.0,3000.0,,science_research.xlsx (internal evidence file - needs_citation)
Glucosamine Sulfate,adult,mg,1500.0,1500.0,1500.0,1500.0,science_research.xlsx (internal evidence file - needs_citation)
Royal Jelly,adult,mg,300.0,300.0,1000.0,,science_research.xlsx (internal evidence file - needs_citation)
Collagen Type II,adult,mg,40.0,40.0,40.0,,science_research.xlsx (internal evidence file - needs_citation)
Green Lipped Mussel,adult,mg,600.0,600.0,1200.0,,science_research.xlsx (internal evidence file - needs_citation)
Grapefruit Seed Extract,adult,mg,100.0,100.0,300.0,,science_research.xlsx (internal evidence file - needs_citation)
